ano,clube,jogador,pos11,idade,minutos,fatia,Contrato termina,Cantos/90,Livres/90,Livres directos/90,Assistências esperadas/90,Passes para a área de penálti/90,Cruzamentos/90,"Cruzamentos certos, %",rendimento,faixa,cantos_temp,livres_temp
2022,Novorizontino,Willean Lepo,LD,25.0,2008,0.5372117910302558,2027-12-31,0.27,0.09,0.09,0.13,3.27,4.12,35.87,-0.13704714893867997,Meio,6.024000000000001,2.008
2022,Chapecoense,Chrystian Barletta,ED,21.0,1922,0.5159857470591106,2029-07-31,0.28,0.23,0.0,0.07,1.97,2.11,33.33,-0.16469053487358654,Meio,5.979555555555557,4.911777777777778
2022,Chapecoense,Fernando,LE,22.0,3509,0.9420364133352858,2029-12-31,0.15,0.26,0.03,0.08,4.0,4.85,31.75,-0.16469053487358654,Meio,5.848333333333334,10.137111111111112
2022,Operário-PR,Fernando Neto,VOL,29.0,1823,0.49414750745422736,2026-09-30,0.25,0.35,0.0,0.07,1.38,1.04,38.1,-0.39133416123100295,Cai,5.063888888888889,7.089444444444444
2022,Vasco,Gabriel Pec,EE,21.0,2156,0.5700550441073962,2031-06-30,0.21,0.08,0.0,0.11,1.63,1.71,24.39,0.0703163200791106,Sobe,5.030666666666667,1.9164444444444444
2022,CSA,Yann Rolim,MEI,27.0,1071,0.28646111948645625,2026-09-30,0.42,0.0,0.0,0.08,3.19,2.69,31.25,-0.2412591642698685,Cai,4.998,0.0
2022,Náutico,João Lucas,LE,31.0,1874,0.4962923728813559,2026-07-31,0.24,0.05,0.0,0.07,3.03,3.51,38.36,-0.5603728775246417,Cai,4.997333333333334,1.041111111111111
2022,Criciúma,Marcos Serrato,VOL,28.0,1604,0.4201952845915694,2026-11-30,0.28,0.22,0.06,0.04,1.63,0.5,33.33,0.3122380378239036,Meio,4.990222222222223,3.920888888888889
2022,Náutico,Pedro Vitor,LE,24.0,1950,0.5164194915254238,2026-12-31,0.23,0.0,0.0,0.06,3.32,3.0,13.85,-0.5603728775246417,Cai,4.983333333333333,0.0
2022,Sampaio Corrêa,Mateusinho,LD,23.0,3143,0.8364300575797164,2028-12-31,0.14,0.63,0.2,0.07,2.58,2.61,25.27,0.4733855144264345,Meio,4.889111111111111,22.000999999999998
