subamostra,setor,comparacao,fronteira,familia,indicador,nome,n_a,n_b,clubes_a,clubes_b,pct_a,pct_b,cru_a,cru_b,d,ic95_lo,ic95_hi,p,q,d_minimo_80,poder_suficiente,selo,passou_bh,passou_bh_nos_dois_cortes,confianca_do_achado
todos,Lateral,ST,com,volume,m_per_min_otip,Metros por minuto SEM a bola,27,27,16,11,50.0,48.1,144.64,143.73,0.15,-0.55,0.93,0.58355,0.65259,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,SM,com,alta_intensidade,hi_distance_p90,Distância em alta intensidade por 90 (m),27,79,16,25,41.7,53.3,721.47,741.44,-0.089,-0.59,0.47,0.70954,0.97516,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,SM,com,alta_intensidade,hi_count_p90,Ações em alta intensidade por 90,27,79,16,25,50.0,50.8,62.12,62.28,-0.061,-0.58,0.52,0.80287,0.97516,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,SM,com,alta_intensidade,hsr_distance_p90,Distância em corrida de alta velocidade por 90 (m),27,79,16,25,50.8,53.7,526.63,541.83,-0.092,-0.62,0.44,0.69174,0.97516,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,SM,com,alta_intensidade,high_accel_p90,Acelerações fortes por 90,27,79,16,25,37.5,50.0,7.12,7.5,-0.217,-0.68,0.28,0.38899,0.97516,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,SM,com,alta_intensidade,hi_distance_p30tip,Alta intensidade por 30 min COM a bola (m),27,79,16,25,49.0,51.0,409.62,421.55,-0.057,-0.64,0.5,0.81263,0.97516,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,SM,com,alta_intensidade,hi_distance_p30otip,Alta intensidade por 30 min SEM a bola (m),27,79,16,25,46.9,50.0,451.53,451.91,0.0,-0.55,0.59,0.99883,0.99883,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,CM,com,alta_intensidade,hi_distance_p90,Distância em alta intensidade por 90 (m),27,79,14,25,35.0,53.3,698.54,741.44,-0.399,-0.75,-0.04,0.07675,0.12921,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,CM,com,alta_intensidade,hi_count_p90,Ações em alta intensidade por 90,27,79,14,25,40.7,50.8,59.07,62.28,-0.412,-0.78,-0.02,0.0772,0.12921,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,CM,com,alta_intensidade,hsr_distance_p90,Distância em corrida de alta velocidade por 90 (m),27,79,14,25,30.0,53.7,507.9,541.83,-0.405,-0.75,-0.06,0.06992,0.12921,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
