treinador,clube,clube_wyscout,id_clube,temporada,interino,em_curso,inicio,fim,rodadas,rodada_1a,rodada_ultima,rodadas_no_ano,jogos_tm_todas_competicoes,ppj_tm_todas_competicoes,fim_inferido
Alberto Valentim,CSA,CSA,18545,2022,0,0,2022-06-17,2022-08-08,10,13,22,38,10,0.70,0
Adriano Rodrigues,CSA,CSA,18545,2022,1,0,2022-08-08,2022-08-11,1,23,23,38,1,3.00,0
Roberto Fernandes,CSA,CSA,18545,2022,0,0,2022-08-08,2022-10-15,11,24,34,38,11,0.91,0
Adriano Rodrigues,CSA,CSA,18545,2022,0,0,2022-10-15,2022-12-05,4,35,38,38,3,2.00,0
Gustavo Morínigo,Ceará SC,Ceará,2029,2023,0,0,2022-11-22,2023-04-24,2,1,2,38,24,1.92,0
Eduardo Barroca,Ceará SC,Ceará,2029,2023,0,0,2023-04-27,2023-06-29,12,3,14,38,13,1.85,0
Guto Ferreira,Ceará SC,Ceará,2029,2023,0,0,2023-06-30,2023-08-28,11,15,25,38,11,1.27,0
Vagner Mancini,Ceará SC,Ceará,2029,2023,0,0,2023-09-01,2024-06-26,13,26,38,38,45,1.44,0
Vagner Mancini,Ceará SC,Ceará,2029,2024,0,0,2023-09-01,2024-06-26,12,1,12,38,45,1.44,0
Anderson Batatais,Ceará SC,Ceará,2029,2024,0,0,2024-06-28,2024-07-02,1,13,13,38,1,3.00,0
Léo Condé,Ceará SC,Ceará,2029,2024,0,0,2024-07-04,2025-12-10,25,14,38,38,83,1.59,0
Mozart,Ceará SC,Ceará,2029,2026,0,0,2025-12-12,2026-06-01,11,1,11,26,31,1.61,0
Daniel Paulista,Ceará SC,Ceará,2029,2026,0,1,2026-06-25,,12,15,26,26,13,1.15,0
Umberto Louzer,Chapecoense,Chapecoense,17776,2020,0,0,2020-02-16,2021-04-14,31,1,31,31,57,2.07,0
Umberto Louzer,Chapecoense,Chapecoense,17776,2021,0,0,2020-02-16,2021-04-14,7,1,7,7,57,2.07,0
Gilson Kleina,Chapecoense,Chapecoense,17776,2022,0,0,2022-04-08,2022-07-05,15,1,15,38,15,1.20,0
Bolívar,Chapecoense,Chapecoense,17776,2022,1,0,2022-07-07,2022-07-11,1,17,17,38,1,0.00,0
Marcelo Cabo,Chapecoense,Chapecoense,17776,2022,0,0,2022-07-11,2022-08-30,10,18,27,38,10,1.10,0
Gilmar Dal Pozzo,Chapecoense,Chapecoense,17776,2022,0,0,2022-09-02,2022-11-08,11,28,38,38,11,1.45,0
Argel Fuchs,Chapecoense,Chapecoense,17776,2023,0,0,2023-03-21,2023-05-29,8,1,8,38,9,1.00,0
Gilmar Dal Pozzo,Chapecoense,Chapecoense,17776,2023,0,0,2023-06-05,2023-08-07,11,11,21,38,11,0.91,0
